"","Pillai Statistic","p","SS","Rsq","F","Pr(>F)"
"Full Cranium",0.950156653644151,9.99900009999e-05,0.144737002700524,0.118572889241425,7.39880680850151,0.001
"Basicranium",0.877910098213377,0.0001999800019998,0.152323183973375,0.0879833481363147,5.30591644089913,0.001
"Rest of cranium",0.989387598655981,0.0008999100089991,0.219508267088388,0.115099839551402,7.15390442704622,0.001
